query	COG_category
group_5420	L
group_5423	-
group_5424	L
group_5425	L
group_5426	V
group_5428	V
group_543	M
group_5430	V
group_5431	L
group_5432	L
group_5433	L
group_5438	-
group_5439	-
group_544	Q
group_5440	L
group_5445	M
group_5446	L
group_5447	L
group_5448	H
group_5449	L
group_545	P
group_5450	-
group_5451	L
group_5452	L
group_5454	E
group_5455	L
group_5456	-
group_5457	-
group_5458	-
group_546	L
group_5461	S
group_5462	S
group_5464	S
group_5465	M
group_5466	L
group_5467	-
group_5469	-
group_547	-
group_5470	EH
group_5471	J
group_5474	S
group_5475	L
group_5476	H
group_5477	-
group_5478	-
group_548	S
group_5485	-
group_5486	L
group_5487	M
group_5488	-
group_549	T
group_5492	E
group_5494	-
group_5495	-
group_5499	-
group_55	GM
group_550	T
group_5502	-
group_5503	S
group_5504	-
group_5505	N
group_5506	-
group_551	-
group_5514	F
group_5517	-
group_552	-
group_5524	V
group_5527	UW
group_553	E
group_5531	KT
group_5532	L
group_5533	L
group_5534	L
group_5535	L
group_5536	P
group_5537	S
group_554	-
group_5540	L
group_5541	L
group_5542	-
group_5549	K
group_555	-
group_5550	-
group_5551	-
group_5552	-
group_5553	T
group_5554	S
group_5555	L
group_5559	L
group_556	S
group_5560	-
group_5563	S
group_5565	-
group_5566	L
group_5567	L
group_5569	L
group_557	F
group_5570	L
group_5572	L
group_5574	L
group_5575	L
group_5576	L
group_5577	L
group_5579	L
group_558	-
group_5584	L
group_5585	J
group_5586	K
group_5589	L
group_559	T
group_5591	L
group_5592	E
group_5593	E
group_5594	V
group_5595	L
group_5596	L
group_5597	P
group_5598	L
group_560	ET
group_5601	-
group_5602	L
group_5603	L
group_5604	CO
group_5605	L
group_5606	L
group_5607	L
group_5608	M
group_561	-
group_5610	L
group_5611	L
group_5612	S
group_5613	K
group_5614	L
group_5617	I
group_5618	C
group_5619	V
group_562	-
group_5622	K
group_5623	L
group_5624	S
group_5628	K
group_563	T
group_5631	S
group_5636	F
group_5637	L
group_5639	-
group_564	J
group_5640	E
group_5642	L
group_5648	S
group_5649	-
group_565	-
group_5650	S
group_5651	S
group_5652	-
group_5654	S
group_5657	-
group_566	M
group_5660	OU
group_5662	S
group_5663	-
group_5664	-
group_5665	-
group_5666	S
group_5668	-
group_5669	-
group_567	-
group_5670	-
group_5673	-
group_5674	-
group_5675	UW
group_5677	-
group_5678	-
group_568	C
group_5681	M
group_5682	-
group_5683	L
group_5684	L
group_5685	CH
group_5686	-
group_5687	L
group_5688	L
group_569	S
group_5691	-
group_5694	OU
group_5697	-
group_57	-
group_570	I
group_5704	-
group_5709	S
group_571	S
group_5710	S
group_5712	-
group_5713	-
group_5714	V
group_5715	L
group_5717	L
group_5718	L
group_5719	L
group_572	L
group_5720	V
group_5722	L
group_5723	T
group_5724	S
group_5725	F
group_5726	G
group_5727	H
group_5728	C
group_5729	S
group_573	M
group_5731	Q
group_5732	S
group_5733	S
group_5734	J
group_5735	L
group_5736	S
group_5737	EH
group_5738	I
group_5739	S
group_574	S
group_5740	F
group_5741	-
group_5743	I
group_5744	K
group_5745	E
group_5746	L
group_5747	-
group_5748	K
group_5749	-
group_575	K
group_5750	-
group_5751	M
group_5752	GK
group_5753	EGP
group_5755	E
group_5756	-
group_5757	-
group_5758	Q
group_5759	K
group_576	P
group_5760	IQ
group_5761	S
group_5762	J
group_5763	-
group_5764	S
group_5765	K
group_5766	S
group_5767	S
group_5768	S
group_5769	M
group_577	-
group_5770	C
group_5771	M
group_5772	-
group_5773	K
group_5774	L
group_5775	I
group_5776	T
group_5777	S
group_5778	I
group_5779	E
group_578	S
group_5780	-
group_5781	E
group_5782	S
group_5783	C
group_5784	S
group_5785	-
group_5786	L
group_5787	L
group_5788	S
group_5789	EH
group_579	S
group_5790	S
group_5791	M
group_5792	-
group_5793	G
group_5794	M
group_5795	G
group_5796	S
group_5797	S
group_5798	V
group_5799	J
group_58	-
group_580	L
group_5800	M
group_5801	T
group_5802	C
group_5803	J
group_5804	-
group_5805	L
group_5806	M
group_5807	S
group_5808	G
group_5809	C
group_581	K
group_5810	-
group_5811	S
group_5812	H
group_5813	I
group_5814	K
group_5815	S
group_5816	G
group_5817	O
group_5818	T
group_5819	M
group_582	I
group_5820	-
group_5823	V
group_5824	V
group_5826	V
group_5828	V
group_5829	S
group_583	V
group_5830	Q
group_5831	P
group_5832	L
group_5833	V
group_5834	V
group_5835	V
group_5836	G
group_5837	S
group_5838	G
group_5839	S
group_584	V
group_5841	E
group_5842	S
group_5843	F
group_5844	S
group_5845	-
group_5846	S
group_5848	EGP
group_5849	S
group_585	L
group_5850	K
group_5851	L
group_5853	-
group_5854	M
group_5855	M
group_5857	-
group_5858	-
group_5859	S
group_5860	-
group_5861	L
group_587	K
group_588	M
group_589	L
group_59	L
group_590	F
group_591	T
group_592	V
group_593	L
group_594	S
group_595	S
group_596	L
group_597	-
group_599	S
group_6	S
group_60	L
group_600	S
group_601	L
group_602	H
group_603	P
group_604	CP
group_605	P
group_606	P
group_607	C
group_608	-
group_609	S
group_610	M
group_611	-
group_612	-
group_613	P
group_614	E
group_615	S
group_616	L
group_617	P
group_618	K
group_619	S
group_62	K
group_621	K
group_623	S
group_624	CP
group_625	F
group_626	NU
group_627	M
group_628	K
group_629	C
group_63	V
group_630	K
group_631	M
group_632	F
group_633	GM
group_635	M
group_636	S
group_637	J
group_638	S
group_639	I
group_64	L
group_640	FG
group_642	C
group_643	J
group_644	E
group_645	C
group_646	F
group_647	S
group_649	M
group_65	E
group_650	L
group_651	H
group_652	O
group_653	S
group_654	K
group_655	M
group_656	L
group_657	J
group_658	S
group_659	I
group_660	S
group_661	L
group_662	F
group_663	S
group_664	I
group_665	L
group_666	O
group_667	K
group_669	S
group_67	S
group_670	S
group_671	D
group_672	S
group_673	S
group_674	G
group_675	M
group_676	L
group_677	S
group_678	S
group_679	S
group_68	H
group_680	S
group_681	S
group_682	S
group_683	S
group_684	G
group_685	-
group_686	S
group_687	S
group_688	J
group_689	F
group_69	M
group_690	-
group_691	S
group_692	S
group_693	S
group_694	D
group_695	CP
group_696	-
group_697	S
group_698	-
group_699	E
group_7	S
group_70	K
group_700	-
group_701	P
group_702	L
group_703	S
group_704	O
group_705	S
group_706	I
group_707	U
group_708	U
group_709	NU
group_71	H
group_710	K
group_711	L
group_712	T
group_713	E
group_714	P
group_715	P
group_716	P
group_717	S
group_718	S
group_719	-
group_72	H
group_720	S
group_721	S
group_722	M
group_723	M
group_724	E
group_725	S
group_726	L
group_727	I
group_728	F
group_729	S
group_73	O
group_730	L
group_731	-
group_732	S
group_733	L
group_734	K
group_735	S
group_736	L
group_737	-
group_738	O
group_739	G
group_74	H
group_740	V
group_741	S
group_742	C
group_743	K
group_744	S
group_745	S
group_746	T
group_747	Q
group_748	EGP
group_749	JKL
group_75	M
group_750	-
group_751	S
group_752	J
group_753	F
group_754	P
group_755	J
group_756	IQ
group_757	S
group_758	G
group_759	T
group_76	S
group_760	E
group_761	E
group_762	-
group_763	M
group_764	E
group_765	S
group_766	V
group_767	E
group_768	P
group_769	P
group_77	F
group_770	J
group_771	L
group_772	K
group_773	S
group_774	T
group_775	-
group_776	E
group_777	S
group_778	G
group_779	IQ
group_78	O
group_780	E
group_781	M
group_782	L
group_783	L
group_784	-
group_785	-
group_786	S
group_787	C
group_788	S
group_789	EGP
group_79	O
group_790	K
group_791	K
group_792	V
group_793	S
group_794	T
group_795	K
group_796	L
group_797	-
group_798	Q
group_799	V
group_8	E
group_800	E
group_801	S
group_802	-
group_803	I
group_804	S
group_805	C
group_806	J
group_807	S
group_808	J
group_809	-
group_810	D
group_811	U
group_812	F
group_813	EGP
group_814	C
group_815	C
group_816	S
group_817	K
group_818	S
group_819	C
group_82	F
group_820	L
group_821	S
group_822	-
group_823	V
group_824	J
group_825	G
group_826	-
group_827	-
group_828	EJ
group_829	Q
group_83	F
group_830	S
group_831	L
group_832	L
group_833	M
group_834	K
group_835	S
group_836	E
group_837	E
group_838	E
group_839	S
group_84	-
group_840	K
group_841	S
group_842	J
group_843	E
group_844	C
group_845	KL
group_846	E
group_847	-
group_848	S
group_849	S
group_85	T
group_850	M
group_851	H
group_852	C
group_853	C
group_854	C
group_855	U
group_856	P
group_857	S
group_858	S
group_859	S
group_86	-
group_860	IM
group_861	L
group_862	L
group_863	S
group_864	C
group_865	K
group_866	EGP
group_867	M
group_868	T
group_869	K
group_87	K
group_870	-
group_871	E
group_873	H
group_874	-
group_875	S
group_876	L
group_877	S
group_878	F
group_879	V
group_88	-
group_881	L
group_882	L
group_883	-
group_884	L
group_885	V
group_886	L
group_887	L
group_89	-
group_890	-
group_892	L
group_893	L
group_895	L
group_896	L
group_897	L
group_898	-
group_899	-
group_9	M
group_90	M
group_900	S
group_901	L
group_902	S
group_903	-
group_904	D
group_905	-
group_906	P
group_907	S
group_908	S
group_909	-
group_91	M
group_910	V
group_911	H
group_913	-
group_914	GT
group_915	E
group_916	J
group_917	O
group_918	S
group_919	-
group_92	S
group_920	L
group_921	M
group_923	H
group_924	E
group_925	M
group_927	V
group_928	S
group_93	S
group_930	L
group_931	M
group_932	P
group_933	P
group_934	M
group_935	L
group_936	L
group_937	V
group_938	S
group_939	H
group_94	L
group_940	M
group_941	S
group_942	I
group_943	L
group_944	M
group_945	-
group_946	-
group_947	L
group_949	M
group_950	I
group_951	S
group_952	K
group_953	S
group_954	M
group_956	M
group_957	V
group_958	M
group_959	V
group_960	H
group_961	S
group_962	C
group_963	-
group_964	I
group_965	S
group_966	E
group_967	S
group_968	K
group_969	O
group_97	P
group_970	V
group_971	V
group_972	V
group_973	U
group_975	V
group_979	-
group_98	S
group_980	M
group_981	L
group_982	V
group_983	S
group_984	IQ
group_985	C
group_987	EH
group_988	H
group_989	IQ
group_99	S
group_991	T
group_992	EH
group_993	E
group_994	J
group_995	S
group_996	J
group_997	S
group_998	L
group_999	-
grpE	O
gshAB_2	HJ
guaA	F
guaB	F
gyrA	L
gyrB	L
hbd	I
hcaD	S
hdfR	K
hemB	H
hemC	H
hemE	H
hemL_1	E
hemL_2~~~hemL	H
hflX	S
hin	L
hin_1	L
hin_2	L
hin_3~~~hin_1	L
hin_3~~~hin_2	L
hisB	E
hisC	E
hisC_1	E
hisC_2	E
hisC~~~hisC_1	E
hisD	E
hisF	E
hisH	E
hisI	E
hisN	G
hmuO	C
holA	L
hpt	F
hrcA	K
hrpA	L
hscA	O
hsdM	V
hutG	E
hutH	E
idi	I
ilvA	E
ilvA_1	E
ilvB1	H
ilvC	EH
ilvD	EG
ilvN	E
ilvX	EH
infA	J
infB	J
infC	J
inhA	S
iniC	S
insK	L
IntTn	L
ispG	I
iucD	Q
kdpA	P
kdpB	P
lcdH	I
lepA	M
lepB_1~~~lepB_2	U
lepB_2~~~lepB_1	U
leuA	E
leuC	E
leuD	E
lexA	K
ligA	L
lipA	H
lipB	H
lnt	M
lpdA_1~~~~~~lpdA_2	C
lpdA~~~lpdA_1	C
lpqB	S
lspA	MU
lutR	K
lysA	E
lysS_1	J
lysS~~~lysS_2	J
macB	V
maf	D
maf_1	D
maf_2	D
malQ	G
manA	G
map_1	E
map_2~~~map_1	E
mbtH	S
mca	S
mcrA	C
mdtK	V
menE	IQ
mepA	V
metE	H
metK	H
metQ	P
mfd	L
mgtE	P
miaA	J
miaB	J
mltG	S
mmgF	G
mnmA	J
mntH	P
moaA	H
moaC	H
mobA	H
modA	P
mppO	C
mptB	S
mqo	C
mraZ	K
mscL	M
mshA	M
mshA_2	M
mshA_2~~~mshA_1	M
mshC	J
mshD	K
msrA	O
msrB	O
msrP	C
mtr	C
murA	M
murG	M
murJ	S
mutM	L
nadA	H
nadC	H
nadD	H
nadE	H
nagA	G
nagB	G
nagB_1	G
nagB_2	G
nagE	G
naiP	EGP
namA	C
nanE	G
narG	C
narK	P
narX	C
narY	C
ndk	F
neo_1	J
neo_2	J
nfdA	S
nlhH	I
nrdE_1	F
nrdE~~~nrdE_2~~~nrdE_1	F
nrdF_1	F
nrdF_1~~~nrdF_2	F
nrdF_2	F
nrdF_3	F
nrdH_2	O
nrdH~~~nrdH_1	O
nrdI_1	F
nrdI_1~~~nrdI_2	F
nrdI_2	F
nrdR	K
nrfD	P
nth	L
nucS	L
nupX	F
nusA	K
nusB	K
nusG	K
obgE	S
ohrR	K
ophA1	C
opuAA	E
opuAB	P
opuBB_1	P
opuBB_2~~~opuBB	P
orn	L
osmX	M
otsB	G
pafA	H
panB	H
pcaB	F
pcaR	K
pcp	O
pcpD	C
pcrA	L
pdxS	H
pdxT	H
pdxY	H
pepN_1	E
pepN_2	E
pepN_2~~~pepN_1	E
pflA	C
pflB	C
pgeF	S
pgi	G
pgl	G
pgm	G
pgsA	I
pheA	E
pheS	J
phoU	P
phrA	L
phrA~~~phrA_1~~~phrA_2	L
phzB2	S
phzD	Q
pikAV	Q
pinR	L
pinR_1	L
pinR_1~~~hin_1~~~pinR~~~hin	L
pinR_2	L
pinR~~~hin_1~~~hin_2~~~hin_3	L
pipolB	-
pknB	KLT
pknD	KLT
pksJ	IQ
polA	L
ppc	H
ppk2_1	S
ppk2_1~~~ppk2_2	S
ppk2_2~~~ppk2_1	S
prfA	J
prfB	J
priA	E
prmC	J
proC	E
prpD2	S
pstA	P
pstC	P
pstS	P
pta	C
ptsP_2	G
ptsP~~~ptsP_1	G
purD	F
purE	F
purH	F
purL	F
purL_2	F
purQ	F
purS	F
purT_2	F
purT~~~purT_1	F
putP	E
pvdA	Q
pyk	G
pyrF	F
pyrR_2	F
pyrR~~~pyrR_1	F
radA~~~radA_1	O
raiA	J
ramB_1~~~ramB_2	K
ramB_1~~~ramB_2~~~ramB	K
ramB_2	K
rapA	L
rapZ	S
rarD	S
rbfA	J
RBKS	G
rbsD	G
rcdA	K
rdgB	F
recA	L
recD2	L
recD2_1	L
recD2_2	L
recD2_3	L
recD2~~~recD2_2	L
recF	L
recF_1	D
recN	L
recO	L
recR	L
recT	L
recX	S
rep	L
resA	CO
rfbA	H
rfbB	M
rfbD	M
rho	K
ribD	H
ricR	S
rimI	K
rimM	J
rimP	S
rlmB	J
rlmN	J
rnpA	J
rpe	G
rph	J
rplA	J
rplB	J
rplC	J
rplD	J
rplE	J
rplF	J
rplF_2	J
rplI	J
rplJ	J
rplK	J
rplL	J
rplM	J
rplN	J
rplO	J
rplP	J
rplQ	J
rplR	J
rplS	J
rplT	J
rplU	J
rplV	J
rplW	J
rplX	J
rpmA	J
rpmB	J
rpmD	J
rpmF	J
rpmG	J
rpmH	J
rpmI	J
rpsA	J
rpsB	J
rpsC	J
rpsD	J
rpsE	J
rpsF	J
rpsG	J
rpsH	J
rpsH_2	J
rpsI	J
rpsJ	J
rpsK	J
rpsL	J
rpsM	J
rpsN	J
rpsO	J
rpsP	J
rpsQ	J
rpsS	J
rpsT	J
rsfS	J
rsgA	S
rsmA_2	J
rsmA~~~rsmA_1	J
rsmD	L
rsmG	J
rsmH	J
rsmI	H
rsrIM	L
ruvA	L
ruvB	L
ruvC	L
ruvX	J
sasA	T
scoA	I
scoB	I
scpB	D
secA	U
secA2	U
secD	U
secE	U
secF	U
secG	U
secY	U
selB	J
selD	E
sepF	D
serB	ET
serS	J
sgrR	E
sigA	K
sigE	K
sigK	K
slyA	K
smc_1	S
smc_2	S
smc_2~~~smc	D
smpB	O
soj	D
sotB	EGP
srmB	L
srpC	P
ssb	L
sucB	C
sufB	O
sufC	O
sufD	O
sugC~~~btuD_2~~~btuD~~~btuD_1	E
tal	H
tatA	U
tatC	U
tdh	E
tgt	J
thiC~~~thiC_1~~~thiC_2	H
thiC~~~thiC_2	H
thiE_1~~~thiE_2	H
thiE_2	H
thiE~~~thiE_1~~~thiE_2	H
thiG	H
thiM	H
thiO~~~dadA	E
thpR	J
tilS	J
topA	L
tpx	O
trmB	J
trmD	J
trpA	E
trpB	E
trpCF	E
trpCF_2~~~trpCF_1~~~trpCF	E
trpD	F
trpS	J
trpS_1	J
trpS_2	J
trpS_2~~~trpS	J
truA	J
truB	J
trxA_1	O
trxA_1~~~trxA_2	O
trxA_2	O
trxA_2~~~trxA_1	O
trxA_3	O
trxB	C
tsaB	O
tsaD	J
tsaE	S
tuf	J
tylN	CG
typA	T
ugpC	P
upp	F
upp_2	F
upp_3	F
uvrA	L
uvrA_1~~~uvrA_2	L
uvrA_2	L
uvrB	L
uvrB_1	L
uvrC	L
vldH	S
wecB	G
wecC	M
wecC_1	M
wecC_1~~~wecC_2	M
wecC_2	M
wecC~~~wecC_1	M
whiA	K
whiB	S
xerC	L
xerC_1	L
xerC_2	L
xerD	D
xerD_1	L
xerD~~~xerD_2	D
xth	L
yaaA	S
yajC	U
ybaK~~~ybaK_2~~~ybaK_1	S
ybeY	S
ybiT	S
yceI	S
ychF	J
yciC	S
yclQ	P
ydhK	M
yehL	S
yfdE	C
yidC_1	U
yidC_1~~~yidC_2	U
yidC_2	U
yidC_2~~~yidC_1	U
yidD	S
yjdF	S
yjdF_1~~~yjdF_2	S
yjdF_1~~~yjdF~~~yjdF_2	S
ykgO	J
yvcK	S
zupT	P
