Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Ctub_58D11_acrpm.spades.pilon.fasta_genome,Ctub_DM01A02_acrpe.spades.pilon.fasta_genome,Ctub_DM01A08_acvsp.spades.pilon.fasta_genome,Ctub_DM01E11_acrpd.spades.pilon.fasta_genome,Ctub_DM06H05_acvsn.spades.pilon.fasta_genome,Ctub_DM12B01_acvst.spades.pilon.fasta_genome,Ctub_DM18A08_acvth.spades.pilon.fasta_genome,Ctub_DM18C03_acvti.spades.pilon.fasta_genome,Ctub_DM21B10_acrox.spades.pilon.fasta_genome,Ctub_DM21C09_acvtj.spades.pilon.fasta_genome,Ctub_DM21C11_acrow.spades.pilon.fasta_genome,Ctub_DM24D01_acvsz.spades.pilon.fasta_genome,Ctub_DM28E02_acrpb.spades.pilon.fasta_genome,Ctub_DM31F07_acvta.spades.pilon.fasta_genome,Ctub_DM31F11_acvtb.spades.pilon.fasta_genome,Ctub_DM31G10_acvtk.spades.pilon.fasta_genome,Ctub_DM32D06_acrpp.spades.pilon.fasta_genome,Ctub_DM32E08_acrpq.spades.pilon.fasta_genome,Ctub_DM33A08_acvtm.spades.pilon.fasta_genome,Ctub_DM33G03_acvtd.spades.pilon.fasta_genome,Ctub_DM41C07_acvtl.spades.pilon.fasta_genome,Ctub_DM41D05_acvtg.spades.pilon.fasta_genome,GCF_000159115.1_ASM15911v1_genomic.fna_genome,GCF_000175635.1_ASM17563v1_genomic.fna_genome,GCF_016127015.1_ASM1612701v1_genomic.fna_genome,GCF_016613425.1_ASM1661342v1_genomic.fna_genome,GCF_016728365.1_ASM1672836v1_genomic.fna_genome,GCF_016894265.1_ASM1689426v1_genomic.fna_genome,duplicate_Ctub_DM24A09_acroz.spades.pilon.fasta_genome
group_3876,,GDSL-type esterase/lipase family protein,28,28,1.0,1,4430,,,,897,897,897.0,MNDJGCBO_00324,BAEMFPOL_01152,IFBJDBIC_00166,IHDAGAJE_00835,JLHCMBLP_00277,AGJPCOND_01011,GAGKCNGK_00799,HPNOPOKD_00836,MPMPHDIC_00055,COKKGDBG_00162,OFMFJDLO_00196,EPECPEML_01307,BCPKOOPG_00848,MHAMJDNJ_00879,MHMDHDMK_00181,GOOOCOCF_01604,DOCAKEAD_00503,DFDDJIAG_01418,BIHKHIPM_00072,IDHDBNGA_00767,FABEFEHK_00143,LBJDDPHL_00346,,KOIPOHFF_00632,BENEEMDG_01042,AKMLPEBN_01907,OPLPGAAK_02356,FIBDHPGH_01587,JFPKKDNC_00229
group_3872,rpsT,30S ribosomal protein S20,28,28,1.0,1,4425,,,,264,264,264.0,MNDJGCBO_00730,BAEMFPOL_00575,IFBJDBIC_00676,IHDAGAJE_00256,JLHCMBLP_00650,AGJPCOND_01632,GAGKCNGK_01112,HPNOPOKD_00048,MPMPHDIC_00883,COKKGDBG_01167,OFMFJDLO_01355,EPECPEML_01105,BCPKOOPG_00341,MHAMJDNJ_00619,MHMDHDMK_00318,GOOOCOCF_01679,DOCAKEAD_01385,DFDDJIAG_02019,BIHKHIPM_00286,IDHDBNGA_00095,FABEFEHK_01286,LBJDDPHL_00937,,KOIPOHFF_00468,BENEEMDG_01545,AKMLPEBN_01132,OPLPGAAK_00499,FIBDHPGH_01062,JFPKKDNC_01155
msrA,msrA,peptide-methionine (S)-S-oxide reductase MsrA,28,28,1.0,1,4422,,,,648,648,648.0,MNDJGCBO_01073,BAEMFPOL_01221,IFBJDBIC_01027,IHDAGAJE_00744,JLHCMBLP_00482,AGJPCOND_01233,GAGKCNGK_01826,HPNOPOKD_02232,MPMPHDIC_01987,COKKGDBG_01659,OFMFJDLO_00851,EPECPEML_01457,BCPKOOPG_01308,MHAMJDNJ_01861,MHMDHDMK_01030,GOOOCOCF_01875,DOCAKEAD_01520,DFDDJIAG_00751,BIHKHIPM_00557,IDHDBNGA_01354,FABEFEHK_00918,LBJDDPHL_01374,,KOIPOHFF_01838,BENEEMDG_01962,AKMLPEBN_01272,OPLPGAAK_01029,FIBDHPGH_00667,JFPKKDNC_01851
group_3869,,LysR family transcriptional regulator,28,28,1.0,1,4421,,,,855,855,855.0,MNDJGCBO_01071,BAEMFPOL_01219,IFBJDBIC_01025,IHDAGAJE_00746,JLHCMBLP_00484,AGJPCOND_01235,GAGKCNGK_01824,HPNOPOKD_02230,MPMPHDIC_01989,COKKGDBG_01657,OFMFJDLO_00849,EPECPEML_01459,BCPKOOPG_01310,MHAMJDNJ_01859,MHMDHDMK_01028,GOOOCOCF_01877,DOCAKEAD_01522,DFDDJIAG_00749,BIHKHIPM_00559,IDHDBNGA_01352,FABEFEHK_00916,LBJDDPHL_01376,,KOIPOHFF_01836,BENEEMDG_01964,AKMLPEBN_01270,OPLPGAAK_01027,FIBDHPGH_00665,JFPKKDNC_01849
group_3865,,ATP-dependent Clp protease proteolytic subunit,28,28,1.0,1,4415,,,,600,612,602.1428571428571,MNDJGCBO_00775,BAEMFPOL_00536,IFBJDBIC_02194,IHDAGAJE_01731,JLHCMBLP_00688,AGJPCOND_01670,GAGKCNGK_01069,HPNOPOKD_00005,MPMPHDIC_00839,COKKGDBG_01212,OFMFJDLO_01165,EPECPEML_01057,BCPKOOPG_00300,MHAMJDNJ_00570,MHMDHDMK_00364,GOOOCOCF_01969,DOCAKEAD_01423,DFDDJIAG_01981,BIHKHIPM_00325,IDHDBNGA_00135,FABEFEHK_01765,LBJDDPHL_01910,,KOIPOHFF_00426,BENEEMDG_01588,AKMLPEBN_01088,OPLPGAAK_00538,FIBDHPGH_01024,JFPKKDNC_01202
group_3864,,peptide MFS transporter,28,30,1.0714285714285714,1,4414,,,,372,1503,1402.1,MNDJGCBO_00773,BAEMFPOL_00538,IFBJDBIC_02196,IHDAGAJE_01733,JLHCMBLP_00686,AGJPCOND_01668,GAGKCNGK_01071,HPNOPOKD_00007,MPMPHDIC_00841,COKKGDBG_01210,OFMFJDLO_01167,EPECPEML_01059;EPECPEML_01060,BCPKOOPG_00302,MHAMJDNJ_00572;MHAMJDNJ_00573,MHMDHDMK_00362,GOOOCOCF_01971,DOCAKEAD_01421,DFDDJIAG_01983,BIHKHIPM_00323,IDHDBNGA_00133,FABEFEHK_01763,LBJDDPHL_01908,,KOIPOHFF_00428,BENEEMDG_01586,AKMLPEBN_01090,OPLPGAAK_00536,FIBDHPGH_01026,JFPKKDNC_01200
group_3861,,cold shock domain-containing protein,28,28,1.0,1,4411,,,,381,414,382.17857142857144,MNDJGCBO_02287,BAEMFPOL_02300,IFBJDBIC_01980,IHDAGAJE_02149,JLHCMBLP_01644,AGJPCOND_02084,GAGKCNGK_01571,HPNOPOKD_01250,MPMPHDIC_00963,COKKGDBG_02240,OFMFJDLO_02093,EPECPEML_02223,BCPKOOPG_02104,MHAMJDNJ_01420,MHMDHDMK_01942,GOOOCOCF_02264,DOCAKEAD_02045,DFDDJIAG_00011,BIHKHIPM_00463,IDHDBNGA_02096,FABEFEHK_01676,LBJDDPHL_01693,,KOIPOHFF_00989,BENEEMDG_00441,AKMLPEBN_00912,OPLPGAAK_01754,FIBDHPGH_02168,JFPKKDNC_00761
group_3859,,sensor histidine kinase,28,28,1.0,1,4409,,,,1065,1164,1128.4285714285713,MNDJGCBO_01064,BAEMFPOL_01212,IFBJDBIC_01018,IHDAGAJE_00753,JLHCMBLP_00491,AGJPCOND_01241,GAGKCNGK_01816,HPNOPOKD_02223,MPMPHDIC_01996,COKKGDBG_01650,OFMFJDLO_00842,EPECPEML_01466,BCPKOOPG_01317,MHAMJDNJ_01852,MHMDHDMK_01021,GOOOCOCF_01884,DOCAKEAD_01529,DFDDJIAG_00740,BIHKHIPM_00565,IDHDBNGA_01958,FABEFEHK_00909,LBJDDPHL_01383,,KOIPOHFF_01829,BENEEMDG_01971,AKMLPEBN_01263,OPLPGAAK_01020,FIBDHPGH_00659,JFPKKDNC_01842
group_3852,,diaminopimelate decarboxylase,28,28,1.0,1,4402,,,,1389,1392,1389.2142857142858,MNDJGCBO_01207,BAEMFPOL_02224,IFBJDBIC_01791,IHDAGAJE_02002,JLHCMBLP_02207,AGJPCOND_01807,GAGKCNGK_01896,HPNOPOKD_00631,MPMPHDIC_00571,COKKGDBG_01869,OFMFJDLO_02174,EPECPEML_00720,BCPKOOPG_01792,MHAMJDNJ_02439,MHMDHDMK_01955,GOOOCOCF_02308,DOCAKEAD_02133,DFDDJIAG_02295,BIHKHIPM_01536,IDHDBNGA_01868,FABEFEHK_01863,LBJDDPHL_00759,,KOIPOHFF_01198,BENEEMDG_00102,AKMLPEBN_00982,OPLPGAAK_01413,FIBDHPGH_00207,JFPKKDNC_00925
group_3849,pstA,phosphate ABC transporter permease PstA,28,28,1.0,1,4397,,,,915,915,915.0,MNDJGCBO_01646,BAEMFPOL_00879,IFBJDBIC_00506,IHDAGAJE_01069,JLHCMBLP_00890,AGJPCOND_02175,GAGKCNGK_02210,HPNOPOKD_01226,MPMPHDIC_01275,COKKGDBG_01353,OFMFJDLO_00811,EPECPEML_01485,BCPKOOPG_01954,MHAMJDNJ_02322,MHMDHDMK_00862,GOOOCOCF_01489,DOCAKEAD_00588,DFDDJIAG_02183,BIHKHIPM_01196,IDHDBNGA_02120,FABEFEHK_01029,LBJDDPHL_01154,,KOIPOHFF_00133,BENEEMDG_01707,AKMLPEBN_02100,OPLPGAAK_00667,FIBDHPGH_00904,JFPKKDNC_02230
group_3847,,acyl carrier protein,28,28,1.0,1,4395,,,,294,300,294.2142857142857,MNDJGCBO_02116,BAEMFPOL_02251,IFBJDBIC_01130,IHDAGAJE_00378,JLHCMBLP_01168,AGJPCOND_02287,GAGKCNGK_00356,HPNOPOKD_00167,MPMPHDIC_00421,COKKGDBG_00528,OFMFJDLO_00307,EPECPEML_01219,BCPKOOPG_01170,MHAMJDNJ_01280,MHMDHDMK_02057,GOOOCOCF_00365,DOCAKEAD_02216,DFDDJIAG_02252,BIHKHIPM_01839,IDHDBNGA_02172,FABEFEHK_02029,LBJDDPHL_00814,,KOIPOHFF_01066,BENEEMDG_01421,AKMLPEBN_01392,OPLPGAAK_00363,FIBDHPGH_01186,JFPKKDNC_01323
group_3846,,hypothetical protein,28,28,1.0,1,4394,,,,411,522,503.89285714285717,MNDJGCBO_02114,BAEMFPOL_02249,IFBJDBIC_01128,IHDAGAJE_00376,JLHCMBLP_01170,AGJPCOND_02285,GAGKCNGK_00358,HPNOPOKD_00165,MPMPHDIC_00423,COKKGDBG_00530,OFMFJDLO_00305,EPECPEML_01217,BCPKOOPG_01168,MHAMJDNJ_01278,MHMDHDMK_02055,GOOOCOCF_00367,DOCAKEAD_02214,DFDDJIAG_02250,BIHKHIPM_01841,IDHDBNGA_02174,FABEFEHK_02027,LBJDDPHL_00816,,KOIPOHFF_01068,BENEEMDG_01423,AKMLPEBN_01390,OPLPGAAK_00365,FIBDHPGH_01184,JFPKKDNC_01321
group_3845,,GntR family transcriptional regulator,28,28,1.0,1,4393,,,,375,375,375.0,MNDJGCBO_01971,BAEMFPOL_01495,IFBJDBIC_01261,IHDAGAJE_01566,JLHCMBLP_01273,AGJPCOND_01254,GAGKCNGK_01433,HPNOPOKD_01397,MPMPHDIC_02054,COKKGDBG_02190,OFMFJDLO_01677,EPECPEML_01666,BCPKOOPG_00900,MHAMJDNJ_02284,MHMDHDMK_01226,GOOOCOCF_00956,DOCAKEAD_01848,DFDDJIAG_01850,BIHKHIPM_01282,IDHDBNGA_01629,FABEFEHK_01554,LBJDDPHL_01703,,KOIPOHFF_01973,BENEEMDG_01987,AKMLPEBN_02259,OPLPGAAK_01005,FIBDHPGH_00644,JFPKKDNC_01916
group_3842,,hypothetical protein,28,28,1.0,1,4390,,,,186,186,186.0,MNDJGCBO_02074,BAEMFPOL_00397,IFBJDBIC_01698,IHDAGAJE_00916,JLHCMBLP_01071,AGJPCOND_00758,GAGKCNGK_00517,HPNOPOKD_00419,MPMPHDIC_01838,COKKGDBG_01415,OFMFJDLO_00591,EPECPEML_00909,BCPKOOPG_00738,MHAMJDNJ_00048,MHMDHDMK_00510,GOOOCOCF_00523,DOCAKEAD_00720,DFDDJIAG_01467,BIHKHIPM_01103,IDHDBNGA_01465,FABEFEHK_00434,LBJDDPHL_01103,,KOIPOHFF_02115,BENEEMDG_00289,AKMLPEBN_02159,OPLPGAAK_01607,FIBDHPGH_02327,JFPKKDNC_01593
group_3841,,sugar ABC transporter permease,28,28,1.0,1,4389,,,,1005,1005,1005.0,MNDJGCBO_02072,BAEMFPOL_00399,IFBJDBIC_01700,IHDAGAJE_00918,JLHCMBLP_01069,AGJPCOND_00756,GAGKCNGK_00515,HPNOPOKD_00417,MPMPHDIC_01840,COKKGDBG_01413,OFMFJDLO_00593,EPECPEML_00911,BCPKOOPG_00736,MHAMJDNJ_00046,MHMDHDMK_00512,GOOOCOCF_00521,DOCAKEAD_00722,DFDDJIAG_01469,BIHKHIPM_01105,IDHDBNGA_01467,FABEFEHK_00432,LBJDDPHL_01101,,KOIPOHFF_02113,BENEEMDG_00291,AKMLPEBN_02157,OPLPGAAK_01609,FIBDHPGH_02325,JFPKKDNC_01591
group_3840,mshD,mycothiol synthase,28,28,1.0,1,4388,,,,918,918,918.0,MNDJGCBO_01649,BAEMFPOL_00876,IFBJDBIC_00509,IHDAGAJE_01072,JLHCMBLP_00893,AGJPCOND_02178,GAGKCNGK_02213,HPNOPOKD_01223,MPMPHDIC_01272,COKKGDBG_01350,OFMFJDLO_00808,EPECPEML_01488,BCPKOOPG_01957,MHAMJDNJ_02325,MHMDHDMK_00859,GOOOCOCF_01486,DOCAKEAD_00591,DFDDJIAG_02180,BIHKHIPM_01193,IDHDBNGA_02123,FABEFEHK_01032,LBJDDPHL_01157,,KOIPOHFF_00130,BENEEMDG_01710,AKMLPEBN_02097,OPLPGAAK_00670,FIBDHPGH_00901,JFPKKDNC_02227
group_3837,,ribose-5-phosphate isomerase,28,28,1.0,1,4385,,,,468,483,482.4642857142857,MNDJGCBO_00789,BAEMFPOL_00520,IFBJDBIC_02057,IHDAGAJE_01718,JLHCMBLP_00702,AGJPCOND_01684,GAGKCNGK_01061,HPNOPOKD_01849,MPMPHDIC_00825,COKKGDBG_02329,OFMFJDLO_01151,EPECPEML_01043,BCPKOOPG_00287,MHAMJDNJ_00556,MHMDHDMK_00378,GOOOCOCF_01955,DOCAKEAD_01437,DFDDJIAG_01844,BIHKHIPM_00333,IDHDBNGA_00151,FABEFEHK_01773,LBJDDPHL_01924,,KOIPOHFF_01614,BENEEMDG_01602,AKMLPEBN_01073,OPLPGAAK_00552,FIBDHPGH_01016,JFPKKDNC_01216
group_3836,hisN,histidinol-phosphatase,28,28,1.0,1,4384,,,,783,783,783.0,MNDJGCBO_02351,BAEMFPOL_01622,IFBJDBIC_02176,IHDAGAJE_01044,JLHCMBLP_01948,AGJPCOND_02248,GAGKCNGK_00394,HPNOPOKD_02157,MPMPHDIC_01549,COKKGDBG_02221,OFMFJDLO_02114,EPECPEML_02326,BCPKOOPG_00608,MHAMJDNJ_01686,MHMDHDMK_02210,GOOOCOCF_02226,DOCAKEAD_00841,DFDDJIAG_02362,BIHKHIPM_02218,IDHDBNGA_02222,FABEFEHK_00312,LBJDDPHL_00975,,KOIPOHFF_01992,BENEEMDG_00418,AKMLPEBN_00567,OPLPGAAK_01729,FIBDHPGH_02198,JFPKKDNC_02254
group_3835,prfB,peptide chain release factor 2,28,28,1.0,1,4383,,,,1104,1104,1104.0,MNDJGCBO_02353,BAEMFPOL_01624,IFBJDBIC_02178,IHDAGAJE_01046,JLHCMBLP_01950,AGJPCOND_02246,GAGKCNGK_00392,HPNOPOKD_02159,MPMPHDIC_01547,COKKGDBG_02219,OFMFJDLO_02116,EPECPEML_02324,BCPKOOPG_00606,MHAMJDNJ_01688,MHMDHDMK_02208,GOOOCOCF_02228,DOCAKEAD_00843,DFDDJIAG_02364,BIHKHIPM_02216,IDHDBNGA_02224,FABEFEHK_00310,LBJDDPHL_00973,,KOIPOHFF_01990,BENEEMDG_00420,AKMLPEBN_00565,OPLPGAAK_01731,FIBDHPGH_02196,JFPKKDNC_02252
group_3834,,M18 family aminopeptidase,28,28,1.0,1,4382,,,,1254,1299,1271.6785714285713,MNDJGCBO_01502,BAEMFPOL_01347,IFBJDBIC_00075,IHDAGAJE_01476,JLHCMBLP_01443,AGJPCOND_01099,GAGKCNGK_00709,HPNOPOKD_01680,MPMPHDIC_01651,COKKGDBG_00075,OFMFJDLO_01999,EPECPEML_01684,BCPKOOPG_01444,MHAMJDNJ_01595,MHMDHDMK_01341,GOOOCOCF_02062,DOCAKEAD_01751,DFDDJIAG_01774,BIHKHIPM_00734,IDHDBNGA_00854,FABEFEHK_00229,LBJDDPHL_01409,,KOIPOHFF_00310,BENEEMDG_00948,AKMLPEBN_00662,OPLPGAAK_02267,FIBDHPGH_01674,JFPKKDNC_00319
group_3833,arc,proteasome ATPase,28,28,1.0,1,4381,,,,1566,1566,1566.0,MNDJGCBO_01500,BAEMFPOL_01349,IFBJDBIC_00073,IHDAGAJE_01474,JLHCMBLP_01441,AGJPCOND_01101,GAGKCNGK_00707,HPNOPOKD_01682,MPMPHDIC_01653,COKKGDBG_00073,OFMFJDLO_01997,EPECPEML_01686,BCPKOOPG_01446,MHAMJDNJ_01593,MHMDHDMK_01343,GOOOCOCF_02060,DOCAKEAD_01753,DFDDJIAG_01772,BIHKHIPM_00732,IDHDBNGA_00856,FABEFEHK_00231,LBJDDPHL_01411,,KOIPOHFF_00308,BENEEMDG_00946,AKMLPEBN_00664,OPLPGAAK_02265,FIBDHPGH_01676,JFPKKDNC_00321
group_3832,cysK,cysteine synthase A,28,28,1.0,1,4379,,,,936,936,936.0,MNDJGCBO_01632,BAEMFPOL_00893,IFBJDBIC_00493,IHDAGAJE_01055,JLHCMBLP_00876,AGJPCOND_02161,GAGKCNGK_02196,HPNOPOKD_01240,MPMPHDIC_01296,COKKGDBG_01367,OFMFJDLO_00825,EPECPEML_02385,BCPKOOPG_01940,MHAMJDNJ_02309,MHMDHDMK_00876,GOOOCOCF_01503,DOCAKEAD_00574,DFDDJIAG_02197,BIHKHIPM_01209,IDHDBNGA_02106,FABEFEHK_02232,LBJDDPHL_01140,,KOIPOHFF_00147,BENEEMDG_01693,AKMLPEBN_02114,OPLPGAAK_00653,FIBDHPGH_00918,JFPKKDNC_02243
group_3830,,ParB/RepB/Spo0J family partition protein,28,28,1.0,1,4377,,,,1041,1041,1041.0,MNDJGCBO_00656,BAEMFPOL_02071,IFBJDBIC_02008,IHDAGAJE_02186,JLHCMBLP_01348,AGJPCOND_01336,GAGKCNGK_01503,HPNOPOKD_01467,MPMPHDIC_01734,COKKGDBG_02067,OFMFJDLO_01391,EPECPEML_01766,BCPKOOPG_00972,MHAMJDNJ_01436,MHMDHDMK_01301,GOOOCOCF_01024,DOCAKEAD_02088,DFDDJIAG_01319,BIHKHIPM_01603,IDHDBNGA_01548,FABEFEHK_01692,LBJDDPHL_02042,,KOIPOHFF_01905,BENEEMDG_02073,AKMLPEBN_02335,OPLPGAAK_01066,FIBDHPGH_00576,JFPKKDNC_01804
group_3828,,multidrug efflux SMR transporter,28,28,1.0,1,4375,,,,318,318,318.0,MNDJGCBO_00515,BAEMFPOL_01514,IFBJDBIC_01668,IHDAGAJE_01894,JLHCMBLP_01817,AGJPCOND_01886,GAGKCNGK_01304,HPNOPOKD_01056,MPMPHDIC_01922,COKKGDBG_00567,OFMFJDLO_01775,EPECPEML_01986,BCPKOOPG_01585,MHAMJDNJ_02011,MHMDHDMK_01712,GOOOCOCF_01129,DOCAKEAD_01065,DFDDJIAG_01599,BIHKHIPM_01908,IDHDBNGA_01812,FABEFEHK_01345,LBJDDPHL_02188,,KOIPOHFF_00190,BENEEMDG_02188,AKMLPEBN_00485,OPLPGAAK_01191,FIBDHPGH_00468,JFPKKDNC_02088
group_3827,,FABP family protein,28,28,1.0,1,4373,,,,696,696,696.0,MNDJGCBO_01652,BAEMFPOL_00873,IFBJDBIC_00512,IHDAGAJE_01075,JLHCMBLP_00896,AGJPCOND_02181,GAGKCNGK_02216,HPNOPOKD_01220,MPMPHDIC_01269,COKKGDBG_01347,OFMFJDLO_00805,EPECPEML_01491,BCPKOOPG_01960,MHAMJDNJ_02328,MHMDHDMK_00856,GOOOCOCF_01483,DOCAKEAD_00594,DFDDJIAG_02177,BIHKHIPM_01190,IDHDBNGA_02126,FABEFEHK_01035,LBJDDPHL_01160,,KOIPOHFF_00127,BENEEMDG_01713,AKMLPEBN_02094,OPLPGAAK_00673,FIBDHPGH_00898,JFPKKDNC_02224
group_3826,,sugar ABC transporter permease,28,28,1.0,1,4372,,,,981,981,981.0,MNDJGCBO_02387,BAEMFPOL_00447,IFBJDBIC_01743,IHDAGAJE_00966,JLHCMBLP_01016,AGJPCOND_00707,GAGKCNGK_00472,HPNOPOKD_00375,MPMPHDIC_01620,COKKGDBG_01982,OFMFJDLO_00641,EPECPEML_00956,BCPKOOPG_00689,MHAMJDNJ_00002,MHMDHDMK_00558,GOOOCOCF_00473,DOCAKEAD_00763,DFDDJIAG_01520,BIHKHIPM_00816,IDHDBNGA_01516,FABEFEHK_00384,LBJDDPHL_01051,,KOIPOHFF_02068,BENEEMDG_00338,AKMLPEBN_00640,OPLPGAAK_01654,FIBDHPGH_02275,JFPKKDNC_01546
group_3825,,ABC transporter substrate-binding protein,28,28,1.0,1,4371,,,,1323,1323,1323.0,MNDJGCBO_02385,BAEMFPOL_00445,IFBJDBIC_01741,IHDAGAJE_00964,JLHCMBLP_01018,AGJPCOND_00709,GAGKCNGK_00474,HPNOPOKD_00377,MPMPHDIC_01622,COKKGDBG_01980,OFMFJDLO_00639,EPECPEML_00954,BCPKOOPG_00691,MHAMJDNJ_00004,MHMDHDMK_00556,GOOOCOCF_00475,DOCAKEAD_00761,DFDDJIAG_01518,BIHKHIPM_00818,IDHDBNGA_01514,FABEFEHK_00386,LBJDDPHL_01053,,KOIPOHFF_02070,BENEEMDG_00336,AKMLPEBN_00642,OPLPGAAK_01652,FIBDHPGH_02277,JFPKKDNC_01548
group_3821,,phosphoserine transaminase,28,28,1.0,1,4367,,,,1119,1119,1119.0,MNDJGCBO_02295,BAEMFPOL_02308,IFBJDBIC_01988,IHDAGAJE_02141,JLHCMBLP_01652,AGJPCOND_02092,GAGKCNGK_01579,HPNOPOKD_01258,MPMPHDIC_00971,COKKGDBG_02248,OFMFJDLO_02085,EPECPEML_02215,BCPKOOPG_02112,MHAMJDNJ_01412,MHMDHDMK_01934,GOOOCOCF_02272,DOCAKEAD_02053,DFDDJIAG_00019,BIHKHIPM_00455,IDHDBNGA_02088,FABEFEHK_01668,LBJDDPHL_01685,,KOIPOHFF_00981,BENEEMDG_00449,AKMLPEBN_00920,OPLPGAAK_01762,FIBDHPGH_02160,JFPKKDNC_00753
group_3819,,segregation/condensation protein A,28,28,1.0,1,4365,,,,798,798,798.0,MNDJGCBO_01441,BAEMFPOL_01407,IFBJDBIC_00016,IHDAGAJE_01416,JLHCMBLP_01383,AGJPCOND_01998,GAGKCNGK_00643,HPNOPOKD_01741,MPMPHDIC_01711,COKKGDBG_00015,OFMFJDLO_01919,EPECPEML_01745,BCPKOOPG_01504,MHAMJDNJ_01537,MHMDHDMK_01401,GOOOCOCF_02005,DOCAKEAD_02114,DFDDJIAG_01714,BIHKHIPM_00678,IDHDBNGA_00914,FABEFEHK_00289,LBJDDPHL_01469,,KOIPOHFF_00249,BENEEMDG_00882,AKMLPEBN_00722,OPLPGAAK_02203,FIBDHPGH_01734,JFPKKDNC_00380
group_3818,,hypothetical protein,28,28,1.0,1,4364,,,,996,1014,1007.5714285714286,MNDJGCBO_01439,BAEMFPOL_01409,IFBJDBIC_00014,IHDAGAJE_01414,JLHCMBLP_01381,AGJPCOND_02000,GAGKCNGK_00641,HPNOPOKD_01743,MPMPHDIC_01713,COKKGDBG_00013,OFMFJDLO_01921,EPECPEML_01747,BCPKOOPG_01506,MHAMJDNJ_01535,MHMDHDMK_01403,GOOOCOCF_02003,DOCAKEAD_02112,DFDDJIAG_01712,BIHKHIPM_00676,IDHDBNGA_00916,FABEFEHK_00291,LBJDDPHL_01471,,KOIPOHFF_00247,BENEEMDG_00880,AKMLPEBN_00724,OPLPGAAK_02201,FIBDHPGH_01736,JFPKKDNC_00382
group_3817,,heme-copper oxidase subunit III,28,28,1.0,1,4363,,,,546,621,548.6785714285714,MNDJGCBO_00013,BAEMFPOL_00953,IFBJDBIC_00490,IHDAGAJE_00431,JLHCMBLP_01118,AGJPCOND_00452,GAGKCNGK_00305,HPNOPOKD_00215,MPMPHDIC_00370,COKKGDBG_00474,OFMFJDLO_00358,EPECPEML_00417,BCPKOOPG_01222,MHAMJDNJ_00967,MHMDHDMK_01178,GOOOCOCF_00315,DOCAKEAD_00901,DFDDJIAG_00438,BIHKHIPM_01781,IDHDBNGA_00938,FABEFEHK_00800,LBJDDPHL_00564,,KOIPOHFF_00953,BENEEMDG_01368,AKMLPEBN_01443,OPLPGAAK_00304,FIBDHPGH_01241,JFPKKDNC_01374
group_3816,,GlsB/YeaQ/YmgE family stress response membrane protein,28,28,1.0,1,4362,,,,249,249,249.0,MNDJGCBO_01058,BAEMFPOL_01206,IFBJDBIC_01012,IHDAGAJE_00759,JLHCMBLP_00497,AGJPCOND_01247,GAGKCNGK_01810,HPNOPOKD_02217,MPMPHDIC_02002,COKKGDBG_01644,OFMFJDLO_00836,EPECPEML_01472,BCPKOOPG_01323,MHAMJDNJ_01846,MHMDHDMK_01015,GOOOCOCF_01890,DOCAKEAD_01535,DFDDJIAG_00734,BIHKHIPM_00571,IDHDBNGA_01964,FABEFEHK_00903,LBJDDPHL_01389,,KOIPOHFF_01823,BENEEMDG_01977,AKMLPEBN_01257,OPLPGAAK_01014,FIBDHPGH_00653,JFPKKDNC_01836
group_3813,,phosphoadenylyl-sulfate reductase,28,28,1.0,1,4359,,,,798,798,798.0,MNDJGCBO_01160,BAEMFPOL_01796,IFBJDBIC_01864,IHDAGAJE_00664,JLHCMBLP_00402,AGJPCOND_01147,GAGKCNGK_02161,HPNOPOKD_01807,MPMPHDIC_02249,COKKGDBG_01604,OFMFJDLO_00928,EPECPEML_02122,BCPKOOPG_02054,MHAMJDNJ_02087,MHMDHDMK_01104,GOOOCOCF_02199,DOCAKEAD_01716,DFDDJIAG_00836,BIHKHIPM_00486,IDHDBNGA_01423,FABEFEHK_00990,LBJDDPHL_01304,,KOIPOHFF_00377,BENEEMDG_01877,AKMLPEBN_01754,OPLPGAAK_00862,FIBDHPGH_00737,JFPKKDNC_02162
group_3810,scpB,SMC-Scp complex subunit ScpB,28,28,1.0,1,4356,,,,555,606,558.0,MNDJGCBO_01443,BAEMFPOL_01405,IFBJDBIC_00018,IHDAGAJE_01418,JLHCMBLP_01385,AGJPCOND_01996,GAGKCNGK_00645,HPNOPOKD_01739,MPMPHDIC_01709,COKKGDBG_00017,OFMFJDLO_01917,EPECPEML_01743,BCPKOOPG_01502,MHAMJDNJ_01539,MHMDHDMK_01399,GOOOCOCF_02007,DOCAKEAD_02116,DFDDJIAG_01716,BIHKHIPM_00680,IDHDBNGA_00912,FABEFEHK_00287,LBJDDPHL_01467,,KOIPOHFF_00251,BENEEMDG_00884,AKMLPEBN_00720,OPLPGAAK_02205,FIBDHPGH_01732,JFPKKDNC_00378
